,endTime,artistName,trackName,msPlayed,HoursPlayed,MinutesPlayed,hour,month,day,skipped,month_entropy,query,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,2026-01-01 08:25:00,Els Amics De Les Arts,Tren Transsiberià,27163,0.0075452777777777775,0.45271666666666666,8,1,Thursday,True,2026-01,Tren Transsiberià Els Amics De Les Arts,0.349,0.602,0.72,0.0,0.109,-8.497,0.0586,134.992,0.633
1,2026-01-02 06:00:00,Els Amics De Les Arts,30 Dies Sense Cap Accident,26632,0.007397777777777777,0.4438666666666667,6,1,Friday,True,2026-01,30 Dies Sense Cap Accident Els Amics De Les Arts,0.00284,0.47,0.96,0.0285,0.115,-3.965,0.0843,146.84,0.501
2,2026-01-02 06:10:00,Joe Anderson,"Happiness Is A Warm Gun - From ""Across The Universe"" Soundtrack",14200,0.003944444444444445,0.23666666666666666,6,1,Friday,True,2026-01,"Happiness Is A Warm Gun - From ""Across The Universe"" Soundtrack Joe Anderson",0.146,0.576,0.452,0.00156,0.111,-9.137,0.0417,135.923,0.112
3,2026-01-02 06:15:00,Anna Roig,"Que difícil, dir que no",13423,0.003728611111111111,0.22371666666666667,6,1,Friday,True,2026-01,"Que difícil, dir que no Anna Roig",0.842,0.623,0.313,0.0236,0.144,-14.168,0.0378,145.807,0.267
4,2026-01-02 06:20:00,Els Amics De Les Arts,Monsieur Cousteau - En Directe Al Festival De Cap Roig / 2015,16320,0.004533333333333334,0.272,6,1,Friday,True,2026-01,Monsieur Cousteau - En Directe Al Festival De Cap Roig / 2015 Els Amics De Les Arts,0.0387,0.461,0.642,3.33e-05,0.751,-8.566,0.0346,145.393,0.518
5,2026-01-02 06:30:00,Els Amics De Les Arts,El Matrimoni Arnolfini,15260,0.004238888888888889,0.25433333333333336,6,1,Friday,True,2026-01,El Matrimoni Arnolfini Els Amics De Les Arts,0.117,0.601,0.859,3.09e-06,0.0777,-6.694,0.0784,107.809,0.766
6,2026-01-02 06:40:00,Antònia Font,Armando Rampas (Recital del Robot I L'astronauta I),14933,0.004148055555555556,0.24888333333333335,6,1,Friday,True,2026-01,Armando Rampas (Recital del Robot I L'astronauta I) Antònia Font,0.0996,0.629,0.703,0.0,0.232,-7.244,0.0294,141.911,0.804
7,2026-01-02 07:13:00,Murray Gold,Clara's Diner,22737,0.006315833333333333,0.37895,7,1,Friday,True,2026-01,Clara's Diner Murray Gold,,,,,,,,,
8,2026-01-02 08:32:00,Ashley Johnson,Through the Valley,29007,0.0080575,0.48345,8,1,Friday,True,2026-01,Through the Valley Ashley Johnson,0.948,0.588,0.0645,3.04e-06,0.116,-15.563,0.0555,59.327,0.34
9,2026-01-02 08:37:00,John Williams,"Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")",331840,0.09217777777777778,5.530666666666667,8,1,Friday,False,2026-01,"Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"") John Williams",,,,,,,,,
